Date,Open,High,Low,Close,Volume
1997-05-18,18.0,30.0,18.0,1.7292,7238000
1997-05-25,21.125,21.25,15.75,1.5,4836500
1997-06-01,18.125,19.75,17.5,1.5,1611600
1997-06-08,18.125,20.5,16.5,1.6562999999999999,1527900
1997-06-15,19.875,20.5,18.375,1.5834000000000001,943700
1997-06-22,19.25,19.25,17.9375,1.5261,1039600
1997-06-29,18.5,18.5,17.75,1.4896,690200
1997-07-06,18.125,23.0,17.75,1.9115000000000002,1708200
1997-07-13,22.0,30.875,22.0,2.2917,4284600
1997-07-20,27.875,29.9375,25.375,2.1563,1736800
1997-07-27,26.125,28.0,24.75,2.2292,602900
1997-08-03,26.75,30.0625,26.625,2.4167,1245700
1997-08-10,28.5,28.9375,25.25,2.2917,932600
1997-08-17,27.5,28.0,23.25,2.1146,420000
1997-08-24,24.625,26.5,23.625,2.125,426600
1997-08-31,25.25,28.75,25.25,2.3386,583200
1997-09-07,28.125,32.0,27.75,2.5,662700
1997-09-14,30.375,44.375,30.0,3.6875,2173500
1997-09-21,44.0,49.0,36.625,3.9479,2139700
1997-09-28,48.0,57.75,47.375,4.1667,3377100
1997-10-05,49.75,54.0,45.625,4.0157,1305500
1997-10-12,48.0,50.25,44.0,3.9011,1192900
1997-10-19,47.125,49.25,42.25,3.625,894400
1997-10-26,44.125,60.75,44.0,5.0261,3113800
1997-11-02,57.625,66.0,46.5,5.0834,2894500
1997-11-09,62.625,62.625,52.625,4.4792,1083200
1997-11-16,54.0,54.75,44.0,4.1667,2160000
1997-11-23,50.75,55.25,50.625,4.4896,1693400
1997-11-30,52.5,53.0,48.5,4.125,713200
1997-12-07,50.875,55.125,49.625,4.5938,886300
1997-12-14,54.5,58.0,52.75,4.5417000000000005,1269200
1997-12-21,55.0,56.0,50.0,4.5,1456600
1997-12-28,54.0,57.375,53.1875,4.5209,696100
1998-01-04,55.0,60.5,54.375,4.9584,1245400
1998-01-11,58.625,59.25,50.75,4.2604,1930100
1998-01-18,50.0,60.125,49.75,4.7917000000000005,2650500
1998-01-25,57.875,64.125,57.75,4.9375,2733000
1998-02-01,59.75,60.75,55.5,4.9167000000000005,1889000
1998-02-08,59.375,63.0,58.5,4.9063,1711000
1998-02-15,59.0,65.5625,57.25,5.1875,2737800
1998-02-22,62.625,63.5,60.625,5.2709,1040600
1998-03-01,63.5,79.625,62.5,6.4167,5395700
1998-03-08,75.875,78.75,70.0,6.3959,3681300
1998-03-15,76.875,88.25,76.75,6.5573,6373100
1998-03-22,79.5625,87.5,77.875,7.0,3216700
1998-03-29,83.5625,87.125,79.5,7.0834,2958300
1998-04-05,85.875,96.75,83.75,7.75,4571200
1998-04-12,94.25,96.0,84.75,7.9375,4172400
1998-04-19,94.875,100.0,92.0,7.9063,5148000
1998-04-26,95.375,99.5,80.5,7.0729,4809200
1998-05-03,83.375,99.5,77.125,7.875,12413300
1998-05-10,95.0,95.875,88.25,7.6979,3321100
1998-05-17,92.9375,94.625,86.5,7.4688,4181800
1998-05-24,90.0,91.5,85.5,7.1667,1946300
1998-05-31,86.0625,89.0,79.75,7.3438,4347700
1998-06-07,88.0,88.5,41.25,7.375,4537900
1998-06-14,43.8125,63.5,43.5,10.1667,17781900
1998-06-21,59.5,82.5,59.125,12.6354,30242100
1998-06-28,74.75,104.75,72.25,15.7084,36349100
1998-07-05,94.75,125.5,94.75,20.6667,21153200
1998-07-12,127.375,143.75,98.125,16.5834,34487000
1998-07-19,96.5,120.5,94.25,19.9688,15676100
1998-07-26,121.125,147.0,117.0,20.7084,28002000
1998-08-02,119.125,127.375,105.5,18.4792,19072800
1998-08-09,109.75,118.875,100.0,19.3334,17679200
1998-08-16,117.0,135.0,115.0,20.4584,18475800
1998-08-23,120.75,133.75,118.5,21.6146,13820400
1998-08-30,130.25,137.5,103.25,17.6485,16625800
1998-09-06,105.4375,107.625,65.0,14.375,33177200
1998-09-13,94.0,94.75,73.5,12.6771,15902500
1998-09-20,80.375,85.9375,70.375,13.2813,21767900
1998-09-27,76.0,116.875,76.0,18.2084,31229900
1998-10-04,116.375,120.0,100.0,18.375,29209800
1998-10-11,108.875,112.25,80.0,15.1979,24435600
1998-10-18,97.125,101.9375,89.75,16.5729,14411500
1998-10-25,99.0,118.3125,99.0,19.3542,14797800
1998-11-01,119.125,129.8125,114.25,21.0729,18947900
1998-11-08,128.125,133.0625,124.0,20.7604,17315300
1998-11-15,121.875,140.0,120.75,21.2917,15599100
1998-11-22,128.5,181.75,123.5,30.1042,39663500
1998-11-29,190.875,233.125,186.0625,36.1042,31094400
1998-12-06,219.625,220.25,182.0,31.4167,25108200
1998-12-13,193.0,224.3125,185.125,37.1667,23943300
