Date,Open,High,Low,Close,Volume
1994-03-06,466.07,469.16,457.49,464.74,1537910000
1994-03-13,464.74,468.07,462.46,466.44,1566770000
1994-03-20,466.44,471.09,465.48,471.06,1637710000
1994-03-27,471.06,471.06,460.58,460.58,1364500000
1994-04-03,460.58,461.12,436.16,445.77,1386810000
1994-04-10,445.66,451.1,435.86,447.1,1565750000
1994-04-17,447.12,450.8,442.62,446.18,1363880000
1994-04-24,446.27,449.96,438.83,447.63,1635770000
1994-05-01,447.64,452.79,447.58,450.91,1169610000
1994-05-08,450.91,453.98,445.64,447.82,1399940000
1994-05-15,447.82,447.82,440.78,444.14,1350770000
1994-05-22,444.15,456.88,443.62,454.92,1482510000
1994-05-29,454.92,457.77,451.79,457.33,1226050000
1994-06-05,457.32,460.86,453.99,460.13,1039730000
1994-06-12,460.13,461.87,455.43,458.67,1225110000
1994-06-19,458.67,463.23,457.18,458.45,1431770000
1994-06-26,458.45,458.45,442.51,442.8,1297100000
1994-07-03,442.78,449.83,439.83,446.2,1274690000
1994-07-10,446.2,449.75,444.18,449.55,927900000
1994-07-17,449.56,454.33,444.65,454.16,1339250000
1994-07-24,454.41,455.71,450.69,453.11,1300550000
1994-07-31,453.1,459.33,451.36,458.26,1213370000
1994-08-07,458.28,462.77,456.08,457.09,1356180000
1994-08-14,457.08,462.27,456.66,461.94,1281290000
1994-08-21,461.97,465.91,459.89,463.68,1403060000
1994-08-28,463.61,474.65,461.46,473.8,1442970000
1994-09-04,473.89,477.59,470.67,470.99,1414230000
1994-09-11,471.0,473.4,466.55,468.18,1078370000
1994-09-18,468.18,474.81,466.15,471.19,1528200000
1994-09-25,471.21,473.15,458.47,459.67,1560260000
1994-10-02,459.65,465.55,459.31,462.71,1487060000
1994-10-09,462.69,463.31,449.27,455.1,1511270000
1994-10-16,455.12,471.3,455.12,469.1,1427870000
1994-10-23,469.11,471.43,463.83,464.89,1462020000
1994-10-30,464.89,473.78,458.26,473.77,1640720000
1994-11-06,473.76,474.74,462.28,462.28,1514850000
1994-11-13,462.31,469.95,461.25,462.35,1385380000
1994-11-20,462.44,468.51,460.25,461.47,1573730000
1994-11-27,461.69,463.41,444.18,452.29,1229350000
1994-12-04,452.26,457.13,447.97,453.3,1421420000
1994-12-11,453.3,455.04,442.88,446.96,1539640000
1994-12-18,446.95,458.8,445.62,458.8,1762490000
1994-12-25,458.78,461.7,456.37,459.83,1514380000
1995-01-01,459.85,462.73,459.0,459.27,964350000
1995-01-08,459.21,462.49,457.2,460.68,1199080000
1995-01-15,460.67,466.43,458.65,465.97,1627330000
1995-01-22,465.97,470.43,463.99,464.78,1667400000
1995-01-29,464.78,471.36,461.14,470.39,1628110000
1995-02-05,470.39,479.91,467.49,478.65,1888560000
1995-02-12,478.64,482.6,478.36,481.46,1579920000
1995-02-19,481.46,485.54,480.89,481.97,1643990000
1995-02-26,481.95,489.19,481.94,488.11,1344760000
1995-03-05,488.26,488.26,483.07,485.42,1626480000
1995-03-12,485.42,490.37,479.7,489.57,1706460000
1995-03-19,489.57,496.67,489.35,495.52,1685030000
1995-03-26,495.52,500.97,493.67,500.97,1658870000
1995-04-02,500.97,508.15,495.7,500.71,1718570000
1995-04-09,500.7,507.19,500.2,506.42,1577400000
1995-04-16,506.3,509.83,504.61,509.23,1201100000
1995-04-23,509.23,512.03,501.19,508.49,1828360000
1995-04-30,508.49,515.29,507.44,514.71,1700170000
1995-05-07,514.76,525.4,513.03,520.12,1769130000
1995-05-14,520.09,527.05,519.14,525.55,1736000000
1995-05-21,525.55,529.08,517.07,519.19,1736260000
1995-05-28,519.19,531.91,519.19,523.65,1673100000
1995-06-04,523.65,536.91,521.38,532.51,1353120000
1995-06-11,532.51,537.73,526.0,527.94,1623250000
1995-06-18,527.94,539.98,527.94,539.83,1737790000
1995-06-25,539.83,551.07,539.83,549.71,1846230000
1995-07-02,549.71,549.79,540.72,544.75,1636460000
1995-07-09,544.75,556.57,544.43,556.37,1362790000
1995-07-16,556.37,562.0,553.8,559.89,1903260000
1995-07-23,560.34,562.94,542.51,553.62,1999830000
1995-07-30,553.62,565.4,553.62,562.93,1750130000
1995-08-06,562.93,565.62,554.1,558.94,1666340000
1995-08-13,558.94,561.59,553.04,555.11,1461040000
1995-08-20,555.11,561.24,554.76,559.21,1660110000
1995-08-27,559.21,563.34,555.2,560.1,1441170000
1995-09-03,560.1,564.62,555.71,563.84,1466640000
1995-09-10,563.86,572.68,563.84,572.68,1341870000
1995-09-17,572.68,585.07,572.68,583.35,1868010000
1995-09-24,583.35,586.79,578.25,581.73,1835200000
1995-10-01,581.73,587.61,574.68,584.41,1751020000
1995-10-08,584.41,585.05,578.48,582.49,1711470000
1995-10-15,582.49,587.39,571.55,584.5,1747510000
1995-10-22,584.5,590.66,581.9,587.46,1864380000
1995-10-29,587.46,587.46,572.53,579.7,2023410000
