Date,Open,High,Low,Close,Volume
1994-03-06,81.25,83.25,80.5,1.8029000000000002,7166700
1994-03-13,81.25,82.25,79.75,1.8194,5429200
1994-03-20,82.5,85.25,82.25,1.8860000000000001,7539800
1994-03-27,85.0,89.25,82.25,1.9473,13523800
1994-04-03,87.5,88.0,82.5,1.8860000000000001,11122900
1994-04-10,82.5,90.125,82.0,1.9362,14125800
1994-04-17,87.0,87.25,83.0,1.8889,8854500
1994-04-24,84.75,92.75,82.25,2.0418,21315600
1994-05-01,92.0,95.25,91.25,2.0589,14191400
1994-05-08,92.75,96.25,90.875,2.0531,10714300
1994-05-15,91.75,97.75,91.625,2.1479,12786300
1994-05-22,96.25,99.25,93.5,2.1756,13870100
1994-05-29,49.0,52.75,48.5,2.3313,22370900
1994-06-05,52.25,53.7656,51.875,2.3535,20243600
1994-06-12,52.625,54.625,51.625,2.3394,79224600
1994-06-19,52.625,54.625,51.875,2.3592,16928600
1994-06-26,52.5,53.5,49.25,2.2035,23938900
1994-07-03,49.75,52.75,49.375,2.2371,21024000
1994-07-10,50.375,51.0,47.75,2.2035,16768600
1994-07-17,49.625,49.625,46.875,2.1646,23678400
1994-07-24,51.5,51.75,47.25,2.2512,35743000
1994-07-31,50.625,51.625,49.25,2.2927,15129800
1994-08-07,51.625,54.625,51.5,2.3369,19344500
1994-08-14,52.375,56.0,52.0,2.4593,15201200
1994-08-21,55.5,56.375,54.0,2.4424,19295100
1994-08-28,55.0,57.75,54.5,2.5315,17034200
1994-09-04,57.375,59.25,55.75,2.493,19998600
1994-09-11,55.875,58.0,55.6875,2.5315,10098200
1994-09-18,57.125,58.25,55.875,2.5315,12556300
1994-09-25,57.125,57.5,55.0,2.493,16517700
1994-10-02,56.0,57.5,54.875,2.4985,10973500
1994-10-09,56.125,56.375,53.875,2.4203,13423000
1994-10-16,54.375,57.75,54.375,2.49,17874800
1994-10-23,56.0,59.875,55.0,2.643,21687000
1994-10-30,59.5,62.375,58.375,2.7654,18717700
1994-11-06,62.25,64.125,61.3125,2.7375,16959600
1994-11-13,61.5,64.625,60.75,2.771,19263600
1994-11-20,62.75,65.125,62.75,2.8539,11912400
1994-11-27,64.5,64.75,61.0625,2.771,11999200
1994-12-04,62.5,64.375,62.0,2.8155,12679300
1994-12-11,63.375,64.25,62.25,2.8098,14727000
1994-12-18,63.125,64.25,61.625,2.821,13253100
1994-12-25,63.375,63.625,58.75,2.7098,26955200
1995-01-01,61.0,61.875,60.0,2.721,6228800
1995-01-08,61.5,61.5,59.375,2.6986,11103900
1995-01-15,60.875,63.0,59.75,2.793,11750000
1995-01-22,63.25,65.25,61.25,2.743,21786600
1995-01-29,61.0,63.125,59.75,2.6654999999999998,17639300
1995-02-05,60.125,60.75,58.25,2.6764,18028800
1995-02-12,60.125,62.625,60.125,2.7596,13931800
1995-02-19,62.0,62.75,59.625,2.6872,19442000
1995-02-26,60.5,62.125,59.5,2.7265,13150600
1995-03-05,61.375,64.0,61.125,2.832,11936400
1995-03-12,63.25,68.75,62.875,3.0521,23722900
1995-03-19,68.625,72.0,68.25,3.113,17363700
1995-03-26,70.125,74.125,69.875,3.2882,20998700
1995-04-02,72.75,74.0,70.375,3.1662,19529100
1995-04-09,71.0,71.5,68.75,3.0995,17291400
1995-04-16,69.5,73.25,69.375,3.2275,10002400
1995-04-23,75.5,78.125,74.0,3.3386,28760300
1995-04-30,75.375,82.125,75.125,3.6390000000000002,25172500
1995-05-07,81.875,83.75,79.5,3.5605,19719800
1995-05-14,79.875,82.25,78.875,3.5944000000000003,12140200
1995-05-21,80.625,86.875,79.875,3.8005,18249000
1995-05-28,85.375,89.5,84.0,3.895,19516200
1995-06-04,88.0,88.375,81.0,3.7,21005000
1995-06-11,82.625,86.0156,81.75,3.7777000000000003,17500800
1995-06-18,84.625,87.5,82.75,3.8722000000000003,16425700
1995-06-25,87.25,92.375,86.875,4.0564,17845700
1995-07-02,91.0,91.125,84.875,4.0226,20332800
1995-07-09,90.875,95.625,90.375,4.2563,11192500
1995-07-16,96.0,103.625,95.75,4.6126000000000005,28727100
1995-07-23,107.75,109.25,88.5,4.0951,68703080
1995-07-30,92.625,98.5,92.0,4.1229,30818200
1995-08-06,93.125,93.875,87.5,4.179,36813100
1995-08-13,94.5,98.125,91.75,4.2956,26353600
1995-08-20,96.875,100.75,95.75,4.3236,21396500
1995-08-27,97.5,100.5,94.375,4.2006,30297800
1995-09-03,94.375,94.375,87.0,3.9951,29687800
1995-09-10,90.875,96.625,90.25,4.2511,21916800
1995-09-17,95.375,97.875,92.5,4.1593,22023300
1995-09-24,93.25,94.625,89.0,3.9951,22703000
1995-10-01,90.5,92.75,85.0,4.0281,29743400
1995-10-08,90.5,90.875,85.0,3.8223000000000003,25008400
1995-10-15,84.875,88.75,80.375,3.8392,32538800
1995-10-22,85.75,98.5,85.5,4.2511,40897600
1995-10-29,95.0,100.1406,94.5,4.4515,27243300
1995-11-05,99.25,103.375,98.25,4.429,24649800
1995-11-12,97.0,99.0156,92.875,4.3122,27225500
1995-11-19,96.625,97.25,87.375,3.8895,36392300
1995-11-26,88.375,89.5,84.25,3.917,20368900
1995-12-03,88.625,92.5,85.875,3.8392,27896400
1995-12-10,86.125,94.625,85.125,4.2066,41259700
1995-12-17,94.5,94.75,87.25,3.9339,22158400
1995-12-24,88.375,91.375,85.375,4.0281,22839600
1995-12-31,90.25,91.25,86.25,3.9059,11085400
1996-01-07,87.875,90.125,84.875,3.8447,17817100
1996-01-14,86.5,87.625,79.875,3.8169,35471000
1996-01-21,85.875,93.25,81.875,4.0895,43651600
1996-01-28,91.625,92.75,89.0,4.0281,22014500
1996-02-04,90.75,94.25,89.3594,4.1396,17297200
1996-02-11,92.75,100.25,92.75,4.4565,32308000
1996-02-18,99.75,101.125,97.5,4.3566,24806700
1996-02-25,97.25,103.625,96.875,4.607,22085700
1996-03-03,103.0,103.25,94.625,4.2511,25253100
1996-03-10,96.0,98.875,94.75,4.2341,20438900
1996-03-17,95.125,103.125,94.75,4.5569,30659500
1996-03-24,102.375,107.0625,99.75,4.5012,26204200
1996-03-31,101.5,104.125,98.75,4.5904,19029600
1996-04-07,103.1406,105.125,102.125,4.6463,10070200
1996-04-14,102.5,104.0,99.625,4.5012,18050600
1996-04-21,101.0,112.125,101.0,4.8850999999999996,30944600
1996-04-28,110.5,113.875,110.25,5.052,21083800
